doi,title,journal,year,cites,areas
10.1016/j.est.2023.108882,Optimized EKF algorithm using TSO-BP neural network for lithium battery state of charge estimation,Journal of Energy Storage,2023,49,State estimation (SOC)
10.1016/j.est.2025.115345,Transfer learning to estimate lithium-ion battery state of health with electrochemical impedance spectroscopy,Journal of Energy Storage,2025,49,Transfer learning
10.1016/j.est.2022.105670,An efficient data-driven optimal sizing framework for photovoltaics-battery-based electric vehicle charging microgrid,Journal of Energy Storage,2022,48,Fault & safety
10.17775/cseejpes.2020.03260,On-board soft short circuit fault diagnosis of lithium-ion battery packs for electric vehicles using extended Kalman filter,CSEE Journal of Power and Energy Systems,2020,48,Fault & safety
10.3390/batteries8040029,Online State-of-Health Estimation of Lithium-Ion Battery Based on Incremental Capacity Curve and BP Neural Network,Batteries,2022,48,Health estimation (SOH);Physics-informed
10.1016/j.est.2023.108042,Equivalent circuit simulated deep network architecture and transfer learning for remaining useful life prediction of lithium-ion batteries,Journal of Energy Storage,2023,48,Prognostics (RUL)
10.1109/access.2021.3130994,Analysis of Optimal Machine Learning Approach for Battery Life Estimation of Li-Ion Cell,IEEE Access,2021,48,Second life
10.1016/j.est.2022.104996,Extreme learning machine model for state-of-charge estimation of lithium-ion battery using salp swarm algorithm,Journal of Energy Storage,2022,48,Health estimation (SOH);State estimation (SOC)
10.1016/j.est.2023.107081,A novel hybrid machine learning coulomb counting technique for state of charge estimation of lithium-ion batteries,Journal of Energy Storage,2023,48,State estimation (SOC)
10.1016/j.est.2024.113257,Estimation of lithium-ion battery electrochemical properties from equivalent circuit model parameters using machine learning,Journal of Energy Storage,2024,47,Other
10.1016/j.energy.2023.128306,A global–local context embedding learning based sequence-free framework for state of health estimation of lithium-ion battery,Energy,2023,47,Health estimation (SOH);Transfer learning
10.1109/tie.2022.3157980,Combining Reduced-Order Model With Data-Driven Model for Parameter Estimation of Lithium-Ion Battery,IEEE Transactions on Industrial Electronics,2023,47,Thermal management
10.1016/j.xcrp.2021.100352,A machine learning framework for early detection of lithium plating combining multiple physics-based electrochemical signatures,Cell Reports Physical Science,2021,46,Fault & safety
10.1109/jrfid.2022.3211841,Physics-Informed Recurrent Neural Network With Fractional-Order Gradients for State-of-Charge Estimation of Lithium-Ion Battery,IEEE Journal of Radio Frequency Identification,2022,46,Physics-informed
10.1016/j.heliyon.2024.e35183,Efficient state of charge estimation of lithium-ion batteries in electric vehicles using evolutionary intelligence-assisted GLA–CNN–Bi-LSTM deep learning model,Heliyon,2024,46,State estimation (SOC)
10.1016/j.est.2023.108413,Data-driven battery state-of-health estimation and prediction using IC based features and coupled model,Journal of Energy Storage,2023,46,Health estimation (SOH)
10.1149/1945-7111/ab95c8,Prediction of Reversible Lithium Plating with a Pseudo-3D Lithium-Ion Battery Model,Journal of The Electrochemical Society,2020,45,Fault & safety
10.3390/pr11082333,Remaining Useful Life Prediction for Lithium-Ion Batteries Based on a Hybrid Deep Learning Model,Processes,2023,45,Prognostics (RUL)
10.1002/ente.202100235,Parameter and State of Charge Estimation Simultaneously for Lithium‐Ion Battery Based on Improved Open Circuit Voltage Estimation Method,Energy Technology,2021,45,State estimation (SOC)
10.1002/est2.408,State of charge estimation of lithium‐ion battery based on extended Kalman filter and unscented Kalman filter techniques,Energy Storage,2022,45,State estimation (SOC)
10.1016/j.energy.2023.128776,Multiple layer kernel extreme learning machine modeling and eugenics genetic sparrow search algorithm for the state of health estimation of lithium-ion batteries,Energy,2023,45,Health estimation (SOH)
10.1109/tpel.2020.3024904,An Isolated Active Balancing and Monitoring System for Lithium Ion Battery Stacks Utilizing a Single Transformer Per Cell,IEEE Transactions on Power Electronics,2021,44,Cell balancing & ECM
10.1016/j.est.2022.105796,State of charge estimation of lithium-ion battery based on multi-input extreme learning machine using online model parameter identification,Journal of Energy Storage,2022,44,Health estimation (SOH);Other;Second life;State estimation (SOC)
10.1109/access.2021.3061478,Unified Univariate-Neural Network Models for Lithium-Ion Battery State-of-Charge Forecasting Using Minimized Akaike Information Criterion Algorithm,IEEE Access,2021,44,Physics-informed
10.1016/j.dajour.2023.100255,A feedforward deep neural network for predicting the state-of-charge of lithium-ion battery in electric vehicles,Decision Analytics Journal,2023,44,Physics-informed
10.1016/j.est.2022.104376,Early prediction of cycle life for lithium-ion batteries based on evolutionary computation and machine learning,Journal of Energy Storage,2022,44,Prognostics (RUL)
10.1016/j.isci.2025.112235,Battery state of health estimation under fast charging via deep transfer learning,iScience,2025,44,Health estimation (SOH)
10.1016/j.electacta.2025.146110,A method for estimating lithium-ion battery state of health based on physics-informed hybrid neural network,Electrochimica Acta,2025,43,Physics-informed
10.3390/su152115283,Prediction of Battery Remaining Useful Life Using Machine Learning Algorithms,Sustainability,2023,43,Prognostics (RUL);Second life
10.1016/j.apenergy.2024.123508,State of charge estimation of lithium-ion battery based on GA-LSTM and improved IAKF,Applied Energy,2024,43,State estimation (SOC)
10.3389/fenrg.2021.702139,A Fault Diagnosis Method for Lithium-Ion Battery Packs Using Improved RBF Neural Network,Frontiers in Energy Research,2021,42,Fault & safety;Physics-informed
10.1016/j.jpowsour.2024.235271,A physics-informed neural network approach to parameter estimation of lithium-ion battery electrochemical model,Journal of Power Sources,2024,42,Physics-informed
10.1016/j.egyr.2023.10.030,Remaining useful life prediction of lithium-ion batteries via an EIS based deep learning approach,Energy Reports,2023,42,Prognostics (RUL)
10.1016/j.est.2022.106457,Lithium-ion battery remaining useful life prediction using a two-phase degradation model with a dynamic change point,Journal of Energy Storage,2023,42,Prognostics (RUL)
10.3390/en14020306,State-of-Charge Estimation of Lithium-Ion Batteries in the Battery Degradation Process Based on Recurrent Neural Network,Energies,2021,41,Graph networks;State estimation (SOC)
10.1002/eom2.12213,Data‐driven battery degradation prediction: Forecasting voltage‐capacity curves using one‐cycle data,EcoMat,2022,41,Prognostics (RUL)
10.1016/j.ress.2023.109361,A power model considering initial battery state for remaining useful life prediction of lithium-ion batteries,Reliability Engineering &amp; System Safety,2023,41,Prognostics (RUL)
10.3390/su13095046,State of Charge Estimation of Lithium-Ion Battery Based on Improved Adaptive Unscented Kalman Filter,Sustainability,2021,41,State estimation (SOC)
10.1016/j.apenergy.2024.125086,A general framework for lithium-ion battery state of health estimation: From laboratory tests to machine learning with transferability across domains,Applied Energy,2025,41,Health estimation (SOH)
10.1016/j.jpowsour.2022.231441,Temperature characterization based state-of-charge estimation for pouch lithium-ion battery,Journal of Power Sources,2022,41,Thermal management
10.3390/en15134753,Lithium-Ion Battery Health Prediction on Hybrid Vehicles Using Machine Learning Approach,Energies,2022,40,Cell balancing & ECM;Digital twins;Fault & safety;Health estimation (SOH);Thermal management;Transfer learning
10.1109/access.2020.3012913,Experimental and Theoretical Analysis of the Fast Charging Polymer Lithium-Ion Battery Based on Cuckoo Optimization Algorithm (COA),IEEE Access,2020,40,Charging control
10.1002/er.5784,Research on parameter identification and state of charge estimation of improved equivalent circuit model of Li‐ion battery based on temperature effects for battery thermal management,International Journal of Energy Research,2020,40,Other
10.3390/batteries9020070,Data-Driven Thermal Anomaly Detection in Large Battery Packs,Batteries,2023,40,Fault & safety
10.1016/j.est.2023.108590,Data-driven analysis of battery electric vehicle energy consumption under real-world temperature conditions,Journal of Energy Storage,2023,40,Fault & safety
10.1002/cphc.202100829,Improved Battery Cycle Life Prediction Using a Hybrid Data‐Driven Model Incorporating Linear Support Vector Regression and Gaussian,ChemPhysChem,2022,40,Prognostics (RUL)
10.3934/era.2023031,Remaining useful life prediction of the lithium-ion battery based on CNN-LSTM fusion model and grey relational analysis,Electronic Research Archive,2023,40,Prognostics (RUL)
10.1016/j.jechem.2023.02.019,Robust state of charge estimation of lithium-ion battery via mixture kernel mean p-power error loss LSTM with heap-based-optimizer,Journal of Energy Chemistry,2023,40,State estimation (SOC)
10.1109/tii.2022.3205942,A Transferable Multistage Model With Cycling Discrepancy Learning for Lithium-Ion Battery State of Health Estimation,IEEE Transactions on Industrial Informatics,2023,40,Health estimation (SOH)
10.3390/app12052305,An Improved Gated Recurrent Unit Neural Network for State-of-Charge Estimation of Lithium-Ion Battery,Applied Sciences,2022,39,Physics-informed;State estimation (SOC)
10.1016/j.energy.2021.122406,Noise immune state of charge estimation of li-ion battery via the extreme learning machine with mixture generalized maximum correntropy criterion,Energy,2022,39,Second life
10.1016/j.jclepro.2023.137220,Capacity estimation for lithium-ion battery via a novel health indicator extracted from partial constant voltage charging curve,Journal of Cleaner Production,2023,39,Health estimation (SOH)
10.1109/tim.2022.3199253,State of Charge Estimation by Joint Approach With Model-Based and Data-Driven Algorithm for Lithium-Ion Battery,IEEE Transactions on Instrumentation and Measurement,2022,39,Thermal management
10.1016/j.energy.2022.126331,A module-level charging optimization method of lithium-ion battery considering temperature gradient effect of liquid cooling and charging time,Energy,2023,38,Charging control
10.1002/cta.70128,Parameter Identification and Open‐Circuit Voltage Estimation of Lithium‐Ion Battery Circuit Model Based on Multi‐Innovation Theory,International Journal of Circuit Theory and Applications,2025,38,Other
10.1109/jas.2023.123099,An Early Minor-Fault Diagnosis Method for Lithium-Ion Battery Packs Based on Unsupervised Learning,IEEE/CAA Journal of Automatica Sinica,2023,38,Fault & safety
10.3390/su15021120,Electric Vehicle Lithium-Ion Battery Fault Diagnosis Based on Multi-Method Fusion of Big Data,Sustainability,2023,38,Fault & safety
10.3390/app11104671,Solid-State Lithium Battery Cycle Life Prediction Using Machine Learning,Applied Sciences,2021,38,Prognostics (RUL);Second life
10.3390/batteries9020120,Lithium-Ion Battery State of Health Estimation with Multi-Feature Collaborative Analysis and Deep Learning Method,Batteries,2023,38,Health estimation (SOH);State estimation (SOC);Transfer learning
10.1002/er.6649,A novel framework for lithium‐ion battery state of charge estimation based on Kalman filter Gaussian process regression,International Journal of Energy Research,2021,38,Health estimation (SOH)
10.3390/electrochem3010003,Application of Machine Learning in Battery: State of Charge Estimation Using Feed Forward Neural Network for Sodium-Ion Battery,Electrochem,2022,37,Benchmarks & data;Health estimation (SOH);Second life;State estimation (SOC)
10.3390/en15165829,SOC Estimation of Lithium-Ion Battery Based on Equivalent Circuit Model with Variable Parameters,Energies,2022,37,Other
10.4218/etrij.2022-0135,Anomaly detection of smart metering system for power management with battery storage system/electric vehicle,ETRI Journal,2022,37,Fault & safety
10.1038/s41598-025-92262-8,A hybrid approach for lithium-ion battery remaining useful life prediction using signal decomposition and machine learning,Scientific Reports,2025,37,Prognostics (RUL)
10.3390/electronics9081279,State of Health Estimation for Lithium-Ion Batteries Based on the Constant Current–Constant Voltage Charging Curve,Electronics,2020,37,Health estimation (SOH)
10.3390/en13081982,A Multi-Agent Reinforcement Learning Framework for Lithium-ion Battery Scheduling Problems,Energies,2020,36,Charging control
10.3390/a15110393,Lithium-Ion Battery Prognostics through Reinforcement Learning Based on Entropy Measures,Algorithms,2022,36,Charging control
10.1016/j.epsr.2020.106356,Online reduced complexity parameter estimation technique for equivalent circuit model of lithium-ion battery,Electric Power Systems Research,2020,36,Other
10.1016/j.energy.2024.133155,Comparative analysis of data-driven electric vehicle battery health models across different operating conditions,Energy,2024,36,Fault & safety
10.3390/app15020516,Machine Learning-Based Lithium Battery State of Health Prediction Research,Applied Sciences,2025,36,Fault & safety
10.1149/1945-7111/abd607,Optimal Fast Charging Method for a Large-Format Lithium-Ion Battery Based on Nonlinear Model Predictive Control and Reduced Order Electrochemical Model,Journal of The Electrochemical Society,2020,36,Foundation models
10.1016/j.est.2022.105308,A novel deep neural network model for estimating the state of charge of lithium-ion battery,Journal of Energy Storage,2022,36,Physics-informed
10.1109/tte.2022.3226683,Interpretable Battery Cycle Life Range Prediction Using Early Cell Degradation Data,IEEE Transactions on Transportation Electrification,2023,36,Prognostics (RUL)
10.1016/j.energy.2022.125019,An electromechanical coupling model-based state of charge estimation method for lithium-ion pouch battery modules,Energy,2022,36,State estimation (SOC)
10.1016/j.est.2023.107549,Data-driven battery capacity estimation based on partial discharging capacity curve for lithium-ion batteries,Journal of Energy Storage,2023,36,Thermal management
10.1002/batt.202300046,Machine Learning in Lithium‐Ion Battery Cell Production: A Comprehensive Mapping Study,Batteries &amp; Supercaps,2023,35,Cell balancing & ECM;Digital twins
10.1039/d2dd00067a,Uncertainty-aware and explainable machine learning for early prediction of battery degradation trajectory,Digital Discovery,2023,35,Benchmarks & data
10.3390/batteries9100511,An Enhanced Single-Particle Model Using a Physics-Informed Neural Network Considering Electrolyte Dynamics for Lithium-Ion Batteries,Batteries,2023,35,Physics-informed
10.1016/j.energy.2023.129503,Particle swarm optimization of Elman neural network applied to battery state of charge and state of health estimation,Energy,2023,35,State estimation (SOC)
10.1016/j.psep.2023.05.088,Risk assessment of lithium-ion battery road transportation using the data-driven Bayesian network considering battery self-heating,Process Safety and Environmental Protection,2023,35,Thermal management
10.1016/j.epsr.2023.109235,Battery-degradation-involved energy management strategy based on deep reinforcement learning for fuel cell/battery/ultracapacitor hybrid electric vehicle,Electric Power Systems Research,2023,34,Benchmarks & data;Cloud & fleet;Thermal management
10.1016/j.est.2023.107704,Fast charging of lithium-ion battery using multistage charging and optimization with Grey relational analysis,Journal of Energy Storage,2023,34,Charging control
10.1149/1945-7111/ac8a1a,Improved Particle Swarm Optimization-Extreme Learning Machine Modeling Strategies for the Accurate Lithium-ion Battery State of Health Estimation and High-adaptability Remaining Useful Life Prediction,Journal of The Electrochemical Society,2022,34,Second life
10.1109/tte.2025.3533540,Transfer Learning-Based Lithium-Ion Battery State of Health Estimation With Electrochemical Impedance Spectroscopy,IEEE Transactions on Transportation Electrification,2025,34,Transfer learning
10.1016/j.apenergy.2024.123248,Multi-source domain transfer learning with small sample learning for thermal runaway diagnosis of lithium-ion battery,Applied Energy,2024,33,Fault & safety;Thermal management
10.1109/tvt.2023.3247722,A Novel Set-Valued Sensor Fault Diagnosis Method for Lithium-Ion Battery Packs in Electric Vehicles,IEEE Transactions on Vehicular Technology,2023,33,Fault & safety
10.3390/batteries8120266,"Prediction of Battery Cycle Life Using Early-Cycle Data, Machine Learning and Data Management",Batteries,2022,33,Cross-cutting;Prognostics (RUL)
10.1016/j.xcrp.2023.101720,Large-scale field data-based battery aging prediction driven by statistical features and machine learning,Cell Reports Physical Science,2023,33,Prognostics (RUL)
10.3390/en16010313,Remaining Useful Life Prediction for Lithium-Ion Batteries Based on Improved Variational Mode Decomposition and Machine Learning Algorithm,Energies,2022,33,Prognostics (RUL)
10.1016/j.microrel.2022.114625,An interpretable remaining useful life prediction scheme of lithium-ion battery considering capacity regeneration,Microelectronics Reliability,2022,33,Prognostics (RUL)
10.1016/j.energy.2022.125637,Battery State-of-Health estimation based on multiple charge and discharge features,Energy,2023,33,Health estimation (SOH)
10.1002/ente.202100910,Data‐Driven–Based Internal Temperature Estimation for Lithium‐Ion Battery Under Variant State‐of‐Charge via Electrochemical Impedance Spectroscopy,Energy Technology,2022,33,Thermal management
10.3390/en14030723,Battery Stress Factor Ranking for Accelerated Degradation Test Planning Using Machine Learning,Energies,2021,32,Benchmarks & data;Interpretability
10.1016/j.enconman.2025.120170,Charging strategies optimization for lithium-ion battery: Heterogeneous ensemble surrogate model-assisted advanced multi-objective optimization algorithm,Energy Conversion and Management,2025,32,Charging control
10.3390/su15076261,Lithium-Ion Battery Remaining Useful Life Prediction Based on Hybrid Model,Sustainability,2023,32,Prognostics (RUL)
10.1016/j.est.2023.107181,Indirect prediction of remaining useful life for lithium-ion batteries based on improved multiple kernel extreme learning machine,Journal of Energy Storage,2023,32,Prognostics (RUL)
10.1016/j.est.2023.107754,State of health estimation of lithium-ion battery using energy accumulation-based feature extraction and improved relevance vector regression,Journal of Energy Storage,2023,32,Health estimation (SOH)
10.3390/en16083393,State of Health Estimation of Lithium-Ion Battery Based on Electrochemical Impedance Spectroscopy,Energies,2023,32,Health estimation (SOH)
10.1016/j.etran.2023.100266,Fast multilayer temperature distribution estimation for lithium-ion battery pack,eTransportation,2023,32,Thermal management
10.3390/batteries8020008,Development of a Matlab/Simulink Model for Monitoring Cell State-of-Health and State-of-Charge via Impedance of Lithium-Ion Battery Cells,Batteries,2022,32,Transfer learning
10.3389/fenrg.2022.891637,Multi-Fault Diagnosis of Lithium-Ion Battery Systems Based on Correlation Coefficient and Similarity Approaches,Frontiers in Energy Research,2022,31,Fault & safety
10.1002/qre.2792,Remaining useful life prediction of lithium‐ion battery using a novel health indicator,Quality and Reliability Engineering International,2020,31,Prognostics (RUL)
10.3390/en13225947,Estimation for Battery State of Charge Based on Temperature Effect and Fractional Extended Kalman Filter,Energies,2020,31,State estimation (SOC)
10.1016/j.est.2023.108732,State-of-health estimation for lithium-ion battery using model-based feature optimization and deep extreme learning machine,Journal of Energy Storage,2023,30,Cell balancing & ECM;Digital twins;Health estimation (SOH);Second life;State estimation (SOC);Transfer learning
10.1016/j.energy.2023.129126,A battery capacity estimation method based on the equivalent circuit model and quantile regression using vehicle real-world operation data,Energy,2023,30,Other
10.3389/fenrg.2023.1059701,Accurate prediction of remaining useful life for lithium-ion battery using deep neural networks with memory features,Frontiers in Energy Research,2023,30,Prognostics (RUL)
10.3390/s22103803,Remaining Useful Life Prediction of Lithium-Ion Batteries Using Neural Networks with Adaptive Bayesian Learning,Sensors,2022,30,Prognostics (RUL)
10.1016/j.est.2024.111877,Improved deep learning based state of charge estimation of lithium ion battery for electrified transportation,Journal of Energy Storage,2024,30,State estimation (SOC)
10.1016/j.apenergy.2022.119367,Li-ion battery individual electrode state of charge and degradation monitoring using battery casing through auto curve matching for standard CCCV charging profile,Applied Energy,2022,30,Health estimation (SOH)
10.3390/batteries9010063,Towards High-Safety Lithium-Ion Battery Diagnosis Methods,Batteries,2023,29,Fault & safety
10.1007/s42835-023-01564-2,State-of-Health Prediction for Li-ion Batteries for Efficient Battery Management System Using Hybrid Machine Learning Model,Journal of Electrical Engineering &amp; Technology,2023,29,Cross-cutting
10.1002/er.5647,Li‐ion battery state of health estimation through Gaussian process regression with Thevenin model,International Journal of Energy Research,2020,29,Health estimation (SOH)
10.3390/s22155762,A Data-Driven Approach to State of Health Estimation and Prediction for a Lithium-Ion Battery Pack of Electric Buses Based on Real-World Data,Sensors,2022,29,Thermal management
10.1115/1.4048816,Electric Vehicle Battery Thermal and Cabin Climate Management Based on Model Predictive Control,Journal of Mechanical Design,2020,29,Thermal management
10.3390/su16167180,Optimal Electric Vehicle Battery Management Using Q-learning for Sustainability,Sustainability,2024,29,Thermal management
10.1109/access.2025.3530351,Lithium-Ion Battery State of Health Degradation Prediction Using Deep Learning Approaches,IEEE Access,2025,29,Transfer learning
10.3390/en16176318,Synergizing Machine Learning and the Aviation Sector in Lithium-Ion Battery Applications: A Review,Energies,2023,28,Cell balancing & ECM;Cross-cutting;Digital twins;Fault & safety
10.1016/j.jechem.2025.08.093,A generalizable physics-informed neural network for lithium-ion battery SOH estimation utilizing partial charging segments,Journal of Energy Chemistry,2026,28,Physics-informed
10.1088/1742-6596/2325/1/012004,Battery Management System to Estimate Battery Aging using Deep Learning and Machine Learning Algorithms,Journal of Physics: Conference Series,2022,27,Benchmarks & data;Cross-cutting
10.3390/en16207081,Remaining Useful Life Prediction of Lithium-Ion Battery Using ICC-CNN-LSTM Methodology,Energies,2023,27,Prognostics (RUL)
10.3390/en15072448,Performance Comparison of Long Short-Term Memory and a Temporal Convolutional Network for State of Health Estimation of a Lithium-Ion Battery using Its Charging Characteristics,Energies,2022,27,Health estimation (SOH)
10.1016/j.est.2022.105669,Bayesian information criterion based data-driven state of charge estimation for lithium-ion battery,Journal of Energy Storage,2022,27,Thermal management
10.1016/j.energy.2022.125210,Machine learning based swift online capacity prediction of lithium-ion battery through whole cycle life,Energy,2022,26,Cell balancing & ECM;Digital twins;Fault & safety;Prognostics (RUL);Thermal management
10.1016/j.jlp.2022.104783,Heat generation and surrogate model for large-capacity nickel-rich prismatic lithium-ion battery as against 18650 battery,Journal of Loss Prevention in the Process Industries,2022,26,Foundation models
10.3390/batteries8100148,Physics-Informed Recurrent Neural Networks with Fractional-Order Constraints for the State Estimation of Lithium-Ion Batteries,Batteries,2022,26,Physics-informed
10.3390/ma15248744,State of Charge Estimation and Evaluation of Lithium Battery Using Kalman Filter Algorithms,Materials,2022,26,State estimation (SOC)
10.23919/saiee.2023.9962788,Electric Vehicle Lithium-ion Battery Ageing Analysis under Dynamic Condition: A Machine Learning Approach,SAIEE Africa Research Journal,2023,25,Cell balancing & ECM;Digital twins;Fault & safety
10.1016/j.jpowsour.2023.233602,Multi-objective optimization for fast charging design of lithium-ion batteries using constrained Bayesian optimization,Journal of Power Sources,2023,25,Charging control
10.3390/batteries9090448,Remaining Useful Life Prediction for Lithium-Ion Batteries Based on Iterative Transfer Learning and Mogrifier LSTM,Batteries,2023,25,Prognostics (RUL)
10.3390/en14082243,Battery State of Health Estimation with Improved Generalization Using Parallel Layer Extreme Learning Machine,Energies,2021,25,Second life
10.1016/j.ijhydene.2022.04.087,Estimation of maximum available capacity of lithium-ion battery based on multi-view features extracted from reconstructed charging curve,International Journal of Hydrogen Energy,2022,25,Health estimation (SOH)
10.1016/j.egyr.2022.10.059,"Lithium-ion battery charging optimization based on electrical, thermal and aging mechanism models",Energy Reports,2022,24,Charging control
10.1109/tte.2023.3311813,Data-Driven Fast Charging Optimization for Lithium-Ion Battery Using Bayesian Optimization With Fast Convergence,IEEE Transactions on Transportation Electrification,2024,24,Charging control
10.3390/batteries9050274,Influence of Lithium-Ion-Battery Equivalent Circuit Model Parameter Dependencies and Architectures on the Predicted Heat Generation in Real-Life Drive Cycles,Batteries,2023,24,Other
10.3390/wevj14060145,Research Progress on Data-Driven Methods for Battery States Estimation of Electric Buses,World Electric Vehicle Journal,2023,24,Fault & safety
10.1016/j.energy.2025.136618,Real-time prediction of battery remaining useful life using hybrid-fusion deep neural networks,Energy,2025,24,Prognostics (RUL)
10.1109/access.2023.3286307,A Data-Driven-Based Framework for Battery Remaining Useful Life Prediction,IEEE Access,2023,24,Prognostics (RUL)
10.1016/j.est.2023.109308,Remaining useful life prediction of lithium-ion batteries based on peak interval features and deep learning,Journal of Energy Storage,2023,24,Prognostics (RUL)
10.1016/j.egyai.2025.100585,Towards a smarter battery management system: A critical review on deep learning-based state of charge estimation of lithium-ion batteries,Energy and AI,2025,24,State estimation (SOC)
10.1016/j.jpowsour.2024.235609,Novel state of charge estimation method of containerized Lithium–Ion battery energy storage system based on deep learning,Journal of Power Sources,2024,24,State estimation (SOC)
10.1016/j.est.2023.108647,Li-ion battery state-of-health estimation based on the combination of statistical and geometric features of the constant-voltage charging stage,Journal of Energy Storage,2023,24,Health estimation (SOH)
10.1080/15325008.2022.2145389,A Data-Driven Comparative Analysis of Lithium-Ion Battery State of Health and Capacity Estimation,Electric Power Components and Systems,2023,24,Thermal management
10.3390/wevj16050279,Energy-Efficient Battery Thermal Management in Electric Vehicles Using Artificial-Neural-Network-Based Model Predictive Control,World Electric Vehicle Journal,2025,24,Thermal management
10.1016/j.applthermaleng.2025.126460,An integration framework based on deep learning and CFD for early detection of lithium-ion battery thermal runaway,Applied Thermal Engineering,2025,24,Thermal management
10.1109/jsyst.2023.3238287,Evaluating Machine-Learning-Based Methods for Modeling a Digital Twin of Battery Systems Providing Frequency Regulation,IEEE Systems Journal,2023,24,Digital twins
10.1016/j.egyr.2023.03.091,Lithium-ion battery state of charge prediction based on machine learning approach,Energy Reports,2023,23,Cell balancing & ECM;Charging control;Digital twins;Fault & safety;Health estimation (SOH);Second life;State estimation (SOC);Thermal management;Transfer learning
10.1109/lcsys.2021.3131269,Constrained Bayesian Optimization for Minimum-Time Charging of Lithium-Ion Batteries,IEEE Control Systems Letters,2022,23,Charging control
10.3389/fenrg.2022.998002,An unscented kalman filtering method for estimation of state-of-charge of lithium-ion battery,Frontiers in Energy Research,2023,23,State estimation (SOC)
10.3390/en16031083,Lithium-Ion Battery State-of-Charge Estimation from the Voltage Discharge Profile Using Gradient Vector and Support Vector Machine,Energies,2023,23,State estimation (SOC)
10.1016/j.jpowsour.2025.236784,Battery health features extraction and state of health estimation based on real-time online vehicle driving data,Journal of Power Sources,2025,23,Health estimation (SOH)
10.1016/j.microrel.2022.114500,A novel Bayesian multivariate linear regression model for online state-of-health estimation of Lithium-ion battery using multiple health indicators,Microelectronics Reliability,2022,23,Health estimation (SOH)
10.3390/wevj16010010,Battery Prognostics and Health Management: AI and Big Data,World Electric Vehicle Journal,2024,22,Cloud & fleet
10.3390/wevj16020107,Data-Driven Modeling of Electric Vehicle Charging Sessions Based on Machine Learning Techniques,World Electric Vehicle Journal,2025,22,Fault & safety
10.3389/fenrg.2022.863285,Prediction of Remaining Useful Life of the Lithium-Ion Battery Based on Improved Particle Filtering,Frontiers in Energy Research,2022,22,Prognostics (RUL)
10.20517/jmi.2024.84,Advancements in the estimation of the state of charge of lithium-ion battery: a comprehensive review of traditional and deep learning approaches,Journal of Materials Informatics,2025,22,State estimation (SOC)
10.1016/j.est.2023.107733,Estimation of state-of-charge and state-of-health for lithium-ion battery based on improved firefly optimized particle filter,Journal of Energy Storage,2023,22,State estimation (SOC)
10.1016/j.est.2022.104916,State of charge estimation of lithium-ion battery under time-varying noise based on Variational Bayesian Estimation Methods,Journal of Energy Storage,2022,22,State estimation (SOC)
10.1016/j.est.2024.114281,State of charge estimation of lithium ion battery for electric vehicle using cutting edge machine learning algorithms: A review,Journal of Energy Storage,2024,22,State estimation (SOC)
10.1007/s43236-022-00428-8,State-of-health estimation for lithium-ion batteries using differential thermal voltammetry and Gaussian process regression,Journal of Power Electronics,2022,22,Health estimation (SOH)
10.1016/j.est.2022.106335,State-of-health estimation by virtual experiments using recurrent decoder–encoder based lithium-ion digital battery twins trained on unstructured battery data,Journal of Energy Storage,2023,22,Thermal management
10.3390/wevj14020047,Proximal Policy Optimization Based Intelligent Energy Management for Plug-In Hybrid Electric Bus Considering Battery Thermal Characteristic,World Electric Vehicle Journal,2023,22,Thermal management
10.1038/s41598-025-30602-4,Physics-informed hybrid reinforcement learning for estimating lithium-ion battery state of health,Scientific Reports,2025,21,Charging control;Transfer learning
10.3390/act10090234,Remaining Useful Life Prediction of Lithium-Ion Batteries Based on Deep Learning and Soft Sensing,Actuators,2021,21,Prognostics (RUL)
10.1016/j.ress.2025.111392,Remaining useful life prediction of lithium battery based on deep reinforcement learning fusion network,Reliability Engineering &amp; System Safety,2025,21,Prognostics (RUL)
10.2478/pomr-2020-0051,State of Charge Estimation Method for Lithium-Ion Batteries in All-Electric Ships Based on LSTM Neural Network,Polish Maritime Research,2020,21,State estimation (SOC)
10.1109/access.2024.3488596,Battery State of Charge and State of Health Estimation Using a New Hybrid Deep Neural Network Approach,IEEE Access,2025,21,State estimation (SOC)
10.1016/j.energy.2024.132723,Enhanced multi-constraint dung beetle optimization-kernel extreme learning machine for lithium-ion battery state of health estimation with adaptive enhancement ability,Energy,2024,21,Health estimation (SOH)
10.1177/14680874211029902,Numerical analysis of kinetic mechanisms for battery thermal runaway prediction in lithium-ion batteries,International Journal of Engine Research,2021,21,Thermal management
10.1016/j.est.2023.106931,Rethinking lithium-ion battery management: Eliminating routine cell balancing enhances hazardous fault detection,Journal of Energy Storage,2023,20,Cell balancing & ECM
10.1541/ieejjia.22004793,Machine Learning-based Remaining Useful Life Prediction Techniques for Lithium-ion Battery Management Systems: A Comprehensive Review,IEEJ Journal of Industry Applications,2023,20,Cell balancing & ECM;Cross-cutting;Digital twins;Prognostics (RUL)
10.1016/j.est.2023.106965,A minor-fault diagnosis approach based on modified variance for lithium-ion battery strings,Journal of Energy Storage,2023,20,Fault & safety
10.3390/en16237824,State of Charge Estimation of Lithium-Ion Battery Based on Back Propagation Neural Network and AdaBoost Algorithm,Energies,2023,20,Physics-informed;State estimation (SOC)
