doi,title,journal,year,cites,areas
10.1016/j.apenergy.2023.121578,A novel lithium-ion battery state of charge estimation method based on the fusion of neural network and equivalent circuit models,Applied Energy,2023,104,State estimation (SOC)
10.1016/j.microrel.2020.113857,Lithium-ion battery performance degradation evaluation in dynamic operating conditions based on a digital twin model,Microelectronics Reliability,2020,104,Digital twins
10.1016/j.energy.2020.119078,Battery state-of-health estimation based on a metabolic extreme learning machine combining degradation state model and error compensation,Energy,2021,103,Benchmarks & data;Interpretability;Second life
10.1016/j.est.2021.102372,A state-of-health estimation method of lithium-ion batteries based on multi-feature extracted from constant current charging curve,Journal of Energy Storage,2021,103,Health estimation (SOH)
10.1016/j.energy.2019.116504,Fault diagnosis of voltage sensor and current sensor for lithium-ion battery pack using hybrid system modeling and unscented particle filter,Energy,2020,102,Fault & safety
10.1016/j.energy.2020.118140,An optimized ensemble learning framework for lithium-ion Battery State of Health estimation in energy storage system,Energy,2020,102,Health estimation (SOH);Transfer learning
10.1016/j.applthermaleng.2022.118503,Multi-objective optimization design and experimental investigation for a parallel liquid cooling-based Lithium-ion battery module under fast charging,Applied Thermal Engineering,2022,101,Charging control
10.1016/j.energy.2021.121360,State-of-charge estimation of lithium-ion battery based on clockwork recurrent neural network,Energy,2021,101,Physics-informed;State estimation (SOC)
10.1016/j.egyr.2022.12.093,State of health estimation for lithium battery random charging process based on CNN-GRU method,Energy Reports,2023,100,Health estimation (SOH)
10.1002/er.6910,Multivariate gated recurrent unit for battery remaining useful life prediction: A deep learning approach,International Journal of Energy Research,2021,99,Prognostics (RUL)
10.1016/j.jpowsour.2022.232466,State of health estimation of lithium-ion battery with automatic feature extraction and self-attention learning mechanism,Journal of Power Sources,2023,98,Health estimation (SOH);Transfer learning
10.1016/j.est.2022.104560,State of health estimation for fast-charging lithium-ion battery based on incremental capacity analysis,Journal of Energy Storage,2022,96,Health estimation (SOH)
10.1016/j.apenergy.2020.115232,Actively temperature controlled health-aware fast charging method for lithium-ion battery using nonlinear model predictive control,Applied Energy,2020,94,Charging control
10.1016/j.energy.2020.119529,A compact and optimized neural network approach for battery state-of-charge estimation of energy storage system,Energy,2021,94,State estimation (SOC)
10.1016/j.apenergy.2021.118244,Fast charging design for Lithium-ion batteries via Bayesian optimization,Applied Energy,2022,93,Charging control
10.3390/batteries9060335,State of Charge and Temperature Joint Estimation Based on Ultrasonic Reflection Waves for Lithium-Ion Battery Applications,Batteries,2023,92,Thermal management
10.1016/j.energy.2024.133418,State of health estimation of lithium-ion battery during fast charging process based on BiLSTM-Transformer,Energy,2024,89,Charging control;Health estimation (SOH)
10.1109/tte.2021.3109636,Data-Driven Estimation of Remaining Useful Lifetime and State of Charge for Lithium-Ion Battery,IEEE Transactions on Transportation Electrification,2022,89,Thermal management
10.1016/j.est.2022.104144,Early Quality Classification and Prediction of Battery Cycle Life in Production Using Machine Learning,Journal of Energy Storage,2022,88,Prognostics (RUL)
10.1016/j.conengprac.2022.105202,Interpretable machine learning for battery capacities prediction and coating parameters analysis,Control Engineering Practice,2022,86,Interpretability
10.1109/tvt.2021.3134312,Remaining Useful Life Prediction of Lithium-Ion Battery via a Sequence Decomposition and Deep Learning Integrated Approach,IEEE Transactions on Vehicular Technology,2022,86,Prognostics (RUL)
10.1016/j.jclepro.2022.130358,Voltage-correlation based multi-fault diagnosis of lithium-ion battery packs considering inconsistency,Journal of Cleaner Production,2022,85,Fault & safety
10.3390/en15134670,Lithium Battery State-of-Charge Estimation Based on a Bayesian Optimization Bidirectional Long Short-Term Memory Neural Network,Energies,2022,85,State estimation (SOC)
10.1007/s42835-021-00954-8,State-of-Charge Estimation of Lithium-ion Batteries Using LSTM Deep Learning Method,Journal of Electrical Engineering &amp; Technology,2022,84,State estimation (SOC)
10.1016/j.energy.2022.125003,"Lifecycle assessment of diesel, diesel-electric and hydrogen fuel cell transit buses with fuel cell degradation and battery aging using machine learning techniques",Energy,2022,83,Benchmarks & data
10.1016/j.apenergy.2022.119030,Towards unified machine learning characterization of lithium-ion battery degradation across multiple levels: A critical review,Applied Energy,2022,82,Benchmarks & data;Digital twins;Fault & safety;Interpretability
10.1016/j.jpowsour.2023.232737,High-efficient prediction of state of health for lithium-ion battery based on AC impedance feature tuned with Gaussian process regression,Journal of Power Sources,2023,81,Health estimation (SOH)
10.3390/electronics10243126,Overview of Machine Learning Methods for Lithium-Ion Battery Remaining Useful Lifetime Prediction,Electronics,2021,80,Digital twins;Fault & safety;Prognostics (RUL)
10.1016/j.energy.2021.122581,Remaining useful life prediction of lithium-ion battery using a novel particle filter framework with grey neural network,Energy,2022,80,Prognostics (RUL)
10.1016/j.energy.2022.125514,State of health estimation for lithium-ion batteries using geometric impedance spectrum features and recurrent Gaussian process regression,Energy,2023,80,Health estimation (SOH)
10.1016/j.apenergy.2022.119678,Multi-fault diagnosis for series-connected lithium-ion battery pack with reconstruction-based contribution based on parallel PCA-KPCA,Applied Energy,2022,79,Fault & safety
10.1016/j.est.2023.106654,Modeling and prediction of lithium-ion battery thermal runaway via multiphysics-informed neural network,Journal of Energy Storage,2023,79,Physics-informed;Thermal management
10.1016/j.est.2022.106486,Comprehensive review of battery state estimation strategies using machine learning for battery Management Systems of Aircraft Propulsion Batteries,Journal of Energy Storage,2023,79,Cross-cutting;Second life
10.1016/j.egyai.2022.100188,Battery state-of-charge estimation using machine learning analysis of ultrasonic signatures,Energy and AI,2022,79,Second life
10.3390/en15031185,A Convolutional Neural Network Approach for Estimation of Li-Ion Battery State of Health from Charge Profiles,Energies,2022,78,State estimation (SOC)
10.1016/j.measurement.2023.112838,Physics-based model informed smooth particle filter for remaining useful life prediction of lithium-ion battery,Measurement,2023,77,Physics-informed;Prognostics (RUL)
10.1016/j.est.2023.107380,A machine learning-based battery management system for state-of-charge prediction and state-of-health estimation for unmanned aerial vehicles,Journal of Energy Storage,2023,77,Cross-cutting;Second life
